"year","depletion","spawning_potential","spawning_potential_nofish","recruitment","fishing_mortality","relative_fishing_mortality","scenario","model_token","model_key","region","source_file","change_token"
1962,0.91621513016965,2382.44025,2600.3066,98.65633362,0.00942871937416139,0.089825,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1963,0.90985326324738,2226.501875,2447.09995,93.11422637,0.0125102692555685,0.1170975,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1964,0.901907532651053,2060.25015,2284.32525,101.36657714,0.00882245233183074,0.0893,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1965,0.901686996172107,1945.824375,2157.982075,81.32984923,0.00998265921777783,0.08783,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1966,0.901146751997169,1855.036925,2058.529225,113.83756387,0.00966614027968802,0.09796,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1967,0.897652368676011,1762.0609,1962.9658,76.25249469,0.0126426540147648,0.107725,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1968,0.895584373776922,1675.33785,1870.66445,71.58987056,0.0105086010304281,0.0876775,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1969,0.896741748042177,1666.822625,1858.75435,107.58392983,0.0130164347865562,0.1118675,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1970,0.894096234468753,1605.0865,1795.205525,81.75127069,0.0260627495556642,0.1062525,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1971,0.891527122678639,1543.170775,1730.9297,81.63297606,0.0282516248175505,0.1086675,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1972,0.885957102121243,1527.263175,1723.8568,76.3976708,0.0373486633734303,0.152275,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1973,0.871655947864014,1430.78275,1641.45355,116.47244059,0.0302817574399748,0.128595,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1974,0.862670937972469,1361.6474,1578.4088,44.23746196,0.0390382363537615,0.13745,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1975,0.854423312161723,1351.842825,1582.169875,164.88365426,0.0317928575481601,0.170175,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1976,0.841903021755006,1346.998025,1599.9444,72.7199023,0.0403727161023413,0.1799,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1977,0.832580117468852,1383.7217,1661.968225,137.16655763,0.0492129990570271,0.197875,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1978,0.826085678036951,1431.350125,1732.689675,17.280374578,0.0406708670444083,0.16695,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1979,0.814139799195271,1409.82745,1731.67735,60.17000448,0.0644331202672764,0.209075,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1980,0.801269973695046,1392.62975,1738.028125,100.55260642,0.052503764797342,0.211625,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1981,0.786600743397011,1292.5847,1643.25385,96.75550194,0.0714188621786893,0.203375,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1982,0.775927783498539,1231.685475,1587.371275,115.02303302,0.0798082474548143,0.244425,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1983,0.764867590393722,1210.2776,1582.3361,94.5985546,0.101418409184737,0.251425,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1984,0.751844212208424,1233.859525,1641.110625,80.9698386,0.11276955602169,0.272925,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1985,0.730602256456816,1239.900925,1697.0943,130.7467017,0.0984632734110758,0.2879,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1986,0.706718546172456,1206.3143,1706.923225,48.30079671,0.12530727435793,0.269125,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1987,0.688132968273812,1194.454325,1735.79,118.1823833,0.145842143278418,0.35105,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1988,0.666214521527148,1171.1494,1757.91635,160.6096706,0.119145069211306,0.322625,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1989,0.645407238774471,1128.838075,1749.03225,78.65036599,0.133201176488048,0.320425,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1990,0.635884349814256,1180.639875,1856.689625,121.4045088,0.168865254595337,0.38775,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1991,0.627027559901957,1218.508175,1943.3088,88.87416638,0.203967214445,0.3567,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1992,0.606360570593493,1199.0391,1977.4358,126.7918894,0.223658121354127,0.4509,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1993,0.576903543383497,1141.0631,1977.909675,74.35245781,0.170055597610955,0.406525,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1994,0.546730484470765,1083.2781,1981.374975,109.4850269,0.198321668723244,0.487325,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1995,0.520388471266477,1033.062925,1985.176425,113.05947835,0.178706639255832,0.439025,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1996,0.507004776044206,999.27105,1970.93025,140.57212568,0.2062381442721,0.408475,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1997,0.515916365224592,1049.402675,2034.0558,75.04038747,0.221061943187873,0.507575,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1998,0.502614574074664,1050.77015,2090.6082,140.55513856,0.252518258292608,0.6025,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1999,0.484258210010402,1023.236375,2112.997475,90.97149762,0.318258920840081,0.649375,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2000,0.456258361449404,965.9961,2117.212925,175.7167302,0.245152272354906,0.62265,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2001,0.431685826761467,914.2637,2117.8914,105.72358535,0.235635454011392,0.545775,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2002,0.41871130577688,906.296675,2164.490575,137.8904269,0.223327994939185,0.6452,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2003,0.414457099839089,935.7707,2257.822825,90.50562816,0.360205630491441,0.5809,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2004,0.410024142941367,948.052575,2312.1872,167.9476039,0.29555012576423,0.78655,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2005,0.398371512384843,925.49855,2323.20465,87.9523709,0.281068033796416,0.61915,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2006,0.388351300728917,920.1373,2369.34265,113.203905,0.296806012607743,0.664775,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2007,0.382280404107587,924.21955,2417.64825,119.5329601,0.306065451964863,0.6696,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2008,0.372129031230651,892.6475,2398.758025,99.84355618,0.375219220877377,0.708525,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2009,0.358332318775993,847.14285,2364.126275,127.1079012,0.26423103214295,0.724775,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2010,0.343044020926624,796.888825,2322.9929,89.990987,0.245914921409229,0.607775,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2011,0.340945765378354,790.87695,2319.656175,104.2228965,0.329471306060659,0.753,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2012,0.337972755451955,776.5011,2297.525725,149.3364883,0.267336646293798,0.777225,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2013,0.328523262252016,734.34735,2235.297875,133.5745516,0.276553913910057,0.710875,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2014,0.332813507539524,752.11715,2259.875675,79.27916296,0.359122252255734,0.77345,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2015,0.338112719206452,791.248875,2340.192575,121.6656287,0.313934795057999,0.68405,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2016,0.337439615561072,800.247775,2371.528825,122.3469575,0.396835375579902,0.6983,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2017,0.336534328576933,786.6506,2337.504775,108.247009,0.230716498403819,0.57405,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2018,0.33811909920667,789.2587,2334.2624,96.2151949,0.325056058698667,0.6821,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2019,0.338053054070665,789.479375,2335.371225,76.5424116,0.318089753047352,0.62495,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2020,0.338165204648895,780.164475,2307.0513,156.5739074,0.456652019420589,0.701525,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
2021,0.338639281181232,758.5303,2239.93595,109.289096,0.331028937488776,0.630875,"01-Diag2023","01-Diag2023","01-Diag2023","All","data/stepwise/models/01-Diag2023/model_payload.rds",""
1952,0.996818757549738,2666.6238,2675.13405,162.072484,0.00655199705989205,0.04746,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1953,0.98660939331112,2699.026225,2735.65835,193.72928529,0.0064486193820301,0.044945,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1954,0.979903007795548,2723.712825,2779.5739,220.67155248,0.00556902297442765,0.0296575,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1955,0.974921182137103,2755.089775,2825.96155,166.91150438,0.00609150276401659,0.0450775,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1956,0.968767842674546,2836.743575,2928.1975,126.42030579,0.00828606886871548,0.0493075,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1957,0.963685018146297,3021.709325,3135.577775,112.95407515,0.0103117838293539,0.0644275,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1958,0.952970309521595,3021.271625,3170.3733,231.98623137,0.0112072885742567,0.0925525,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1959,0.93926530819325,2843.64305,3027.51845,22.42326615,0.0102002883938496,0.0846,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1960,0.929106099076559,2658.53655,2861.391775,115.81592482,0.0108746942825129,0.08751,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1961,0.923930437186327,2588.350975,2801.45655,83.81257941,0.0106832736098073,0.0881775,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1962,0.917117738902185,2404.6087,2621.9193,116.43093627,0.00891172648178902,0.0866925,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1963,0.910916607750511,2250.64065,2470.7428,88.86909309,0.0122430781968099,0.112915,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1964,0.903144913533405,2085.1332,2308.7471,98.78706732,0.00870122732490371,0.0859925,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1965,0.903024640383408,1971.6342,2183.367,86.48289181,0.00966179098851564,0.08471,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1966,0.902410018803695,1878.191725,2081.306375,125.00861552,0.00930206571580951,0.09457,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1967,0.89893677370644,1783.30585,1983.794525,73.68795428,0.0123615177127509,0.103925,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1968,0.896884434340854,1694.765675,1889.614325,74.80977034,0.0102398421610591,0.0847675,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1969,0.897931343539232,1683.827075,1875.2292,109.4716335,0.0125863785975355,0.108115,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1970,0.895317224508945,1620.999075,1810.530425,81.84028661,0.0253993083511267,0.1025875,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1971,0.892901213937589,1559.586575,1746.65075,87.33544068,0.0273883642143685,0.1050875,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1972,0.887479461047767,1542.4064,1737.962925,80.642539,0.0359769601248888,0.1469,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1973,0.87358482756297,1446.771875,1656.1321,117.1616328,0.0296597644208931,0.1239125,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1974,0.864933301964449,1377.8213,1592.979825,48.29993025,0.0385420634400475,0.13255,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1975,0.856925736097898,1368.160175,1596.5913,166.62620209,0.0306007818638436,0.164125,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1976,0.844604861103539,1363.369275,1614.2096,82.02656992,0.0391052384070896,0.17395,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1977,0.834970997981018,1396.107475,1672.043075,134.07633662,0.0486360509693893,0.191675,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1978,0.828514018786544,1443.34375,1742.0873,25.165966715,0.0394323786967359,0.161675,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1979,0.816755682449339,1421.6293,1740.58085,62.05769691,0.0623840438034519,0.20235,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1980,0.804050395985723,1403.910425,1746.0478,99.9785074,0.0475940482903645,0.203575,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1981,0.790207313492726,1310.075025,1657.88775,99.73239794,0.0694428339776366,0.19605,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1982,0.779947225185704,1246.789375,1598.556075,123.93489034,0.0767136822715962,0.236275,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1983,0.768622667863372,1222.841175,1590.951225,91.6767245,0.0979405401721668,0.2435,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1984,0.755606397748866,1244.370075,1646.849575,85.5445639,0.110292167054959,0.2642,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1985,0.734927381402153,1250.8365,1701.986525,128.8768376,0.0973251465320712,0.2788,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1986,0.711543775476408,1216.893425,1710.215825,52.77282353,0.122489009730957,0.26115,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1987,0.692698943424563,1202.4123,1735.836775,121.93567121,0.141011884002465,0.340925,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1988,0.670613192947278,1177.785075,1756.2808,160.2462424,0.116673258908984,0.3128,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1989,0.65005914974136,1135.4929,1746.7532,82.1811526,0.130881708504537,0.3117,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1990,0.640179537432922,1185.08005,1851.168275,124.45466,0.163242449660517,0.377575,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1991,0.630848012026638,1220.295125,1934.372625,92.64534467,0.197888515322822,0.346,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1992,0.611406669205005,1205.0268,1970.908825,127.084415,0.217031671347787,0.43565,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1993,0.583006512179708,1151.1017,1974.4234,76.89902788,0.166913347606203,0.39285,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1994,0.553166402867046,1093.60435,1976.989825,113.0005224,0.192727866794948,0.471225,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1995,0.527082799111942,1044.3454,1981.368775,115.03324199,0.177742993966066,0.4244,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1996,0.513552813921686,1009.471675,1965.662825,142.1112722,0.195469812724093,0.395775,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1997,0.521851857148521,1057.31425,2026.081225,77.18748504,0.217359321168166,0.492425,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1998,0.508431348818609,1057.717025,2080.353675,143.33456241,0.245011302396673,0.58425,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
1999,0.490161285607523,1030.3438,2102.05055,94.17022886,0.31217300528915,0.629275,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2000,0.462540309827914,973.9127,2105.573675,177.54351928,0.238804959462246,0.6021,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2001,0.438149191897901,922.898475,2106.356675,108.47240177,0.231033899845267,0.528475,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2002,0.424816346498349,913.70205,2150.8166,139.6922607,0.218524575787835,0.6256,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2003,0.420160237179104,941.8229,2241.580275,93.66465301,0.350790263267226,0.563275,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2004,0.415645749051731,954.3168,2295.98595,169.392185,0.289137127599655,0.76285,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2005,0.403983653504273,931.744,2306.39035,91.42207268,0.275573424204625,0.6011,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2006,0.393738163471424,925.246275,2349.90245,115.1469215,0.289246630574675,0.645625,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2007,0.3874970673673,929.100275,2397.696275,121.439187,0.298157934641153,0.649525,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2008,0.377437802141822,897.764375,2378.575675,102.05151784,0.364166009063544,0.68605,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2009,0.364156668849254,853.988875,2345.113925,128.9390921,0.258903147118098,0.700425,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2010,0.34928651222796,804.84445,2304.252875,92.6918915,0.239454890080127,0.5878,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2011,0.347054464126745,798.119225,2299.69445,105.9904694,0.321207779766288,0.7285,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2012,0.34410535669711,783.898275,2278.07635,151.1013082,0.260580990110675,0.75085,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2013,0.334785722119666,741.990375,2216.314275,135.4289374,0.271784416653847,0.68825,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2014,0.33868543749246,758.0771,2238.292575,82.28992823,0.35030701084451,0.750725,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2015,0.343532188569427,795.581575,2315.88655,124.2401911,0.303548200318184,0.664175,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
2016,0.342727961286518,804.007675,2345.906275,123.9619058,0.383180385113375,0.67735,"02-NewExeIni1007","02-NewExeIni1007","02-NewExeIni1007","All","data/stepwise/models/02-NewExeIni1007/model_payload.rds",""
